"grain","FishLengCm","Join_Count","depth_mean","slope_mean","slopeofslope_mean","backscatter_mean","rugosity_mean","plancurvature_mean","distancetoshelf_mean","depth_sd","slope_sd","slopeofslope_sd","backscatter_sd","rugosity_sd","plancurvature_sd","distancetoshelf_sd"
"25",0,0,NA,NA,NA,NA,0.953545494897831,NA,NA,NA,NA,NA,NA,0.191593929111567,NA,NA
"25",0,0,NA,NA,NA,NA,0.94214187696194,NA,NA,NA,NA,NA,NA,0.189877501088894,NA,NA
"25",0,0,NA,NA,NA,NA,0.926498669924008,NA,NA,NA,NA,NA,NA,0.194753034444089,NA,NA
"25",0,0,-90.7430555555556,5.83308896753523,47.3727571964264,-27.6831943061617,1.02729926672247,2.86458333333333,14852.9840370241,0.454142206522521,4.97966211105512,19.9430861079271,2.2398069312188,0.0212229498716616,20.4819952274309,8.14804103422951
"25",0,0,-77.9038461538462,2.83670702347389,33.2095106931833,-26.1748719215393,1.01435695626797,-0.480769230769231,15429.8412468616,0.355216356675235,4.54638382550504,29.5443598110943,1.53256160845852,0.00899858828215444,10.276874229093,8.74077674840962
"25",0,0,-90.4551282051282,7.26298429721441,43.7490712740482,-30.1321794436528,1.04426034368002,-1.11378205128205,14831.4584519122,0.939065758925558,8.24575724094128,26.8805983145398,2.43139840254559,0.0443783044389812,13.3074482827232,8.64481284139946
"25",0,0,-77.7569444444444,3.87345202101602,42.4023132257991,-26.3192362123066,1.01969054341316,-0.564236111111111,15408.1711947816,0.43042551360964,4.90551312797868,25.8839274756948,1.46970491846189,0.0153930773554948,11.7779479602201,8.46236820639648
"25",0,0,-77.9551282051282,1.9226396603462,25.665387340081,-26.7605128166003,1.01854030826153,-0.440705128205128,15395.7624233146,0.236723568690428,3.06065028542452,24.1066104201577,1.50384415925866,0.015204861469555,8.64021505946351,8.60522910013596
"25",0,0,-87.3846153846154,6.71796212746547,51.4110932289026,-24.9475641128344,1.02760121302727,0.969551282051282,14822.6958235357,0.584327995183643,5.66277451419963,21.8585397978121,1.13193205849779,0.0234618105425435,18.5560255179594,8.38771985168957
"25",0,0,-88.1458333333333,14.3790923125214,58.9321793251567,-30.1665971411599,1.08259939733479,1.84094551205635,14809.7883997858,1.62139864513128,7.84018204044622,15.45247473409,3.73658585892626,0.0539686778373678,22.256385557194,8.36315666871314
"25",0,0,-77.4023668639053,6.98757149340838,48.4239622206378,-26.7750887560421,1.03425691607436,0.480769230769231,15374.0923711889,0.570291556879325,5.6283904504587,22.1532281873319,1.53266925335569,0.0311287127281781,15.2600230527817,8.87912410888358
"25",0,0,-88.301775147929,7.72025357195611,50.55652872063,-25.6275148335293,1.05333625847066,-0.784023668639053,14801.02577141,0.661930201756761,5.52048846658767,18.8604771222258,1.81337226751705,0.0392322080505581,22.0632871994872,8.66859589448501
"25",5.69078853543,1,-77.6538461538462,5.93816435642731,48.9011261218633,-25.6678205881363,1.02331345967757,-0.528846153846154,15353.1446541327,0.490606552220703,5.12713955743453,21.2021557227718,1.2824248646579,0.0173366374177756,14.5247553290831,7.67496563801261
"25",0,0,NA,NA,NA,NA,0.909985694827305,NA,NA,NA,NA,NA,NA,0.207660384695692,NA,NA
"25",0,0,-88.8397435897436,7.30642252396315,48.7668214852993,-27.3379487013205,1.05921252492147,0.272435897435897,14780.0780543541,0.501569084706022,4.87731815679742,16.6595547613415,1.98642085045318,0.0563024632117107,25.3600265180434,7.43027415310688
"25",0,0,-77.8698224852071,4.73302285628911,45.3670265716914,-27.9213610203308,1.03374080333484,1.59763313609467,15331.2861072767,0.416448238041172,4.40732828399608,20.5543225215745,1.27320778683685,0.0249649754320908,17.5350226168697,7.8322165838857
"25",0,0,-83.9881656804734,10.1808874875131,56.5455087239926,-29.0062721974751,1.05661557905773,0.835798816568047,14957.6800154738,0.957353530264759,5.994087992704,16.088658298836,1.9646150503082,0.0425640153467354,21.0718733088684,7.59268923760275
"25",0,0,-84.9358974358974,4.64622894617227,34.571000734965,-27.9171153948857,1.03831155177874,1.6025641025641,14945.1881353315,0.40448273904696,5.0662172270288,25.0818800649301,1.3358828131912,0.0283542098593064,13.5612372102727,7.48411302357755
"25",0,0,-88.2426035502959,7.71883763081929,53.2675503837992,-27.760354928011,1.07198942060301,1.91568047337278,14758.2190838242,0.668390276807029,5.5569262855326,16.5888959081175,2.32162417141484,0.061450471840197,18.4636041512603,7.59268923752163
"25",0,0,-78.0576923076923,5.15392696857452,47.0891536841026,-28.4574358891218,1.03394236625769,0.480769230769231,15308.7959399978,0.363502400318376,4.36101243906548,18.2304143663754,1.85313391117798,0.026044597005188,14.244029265873,7.73665596891701
"25",0,0,NA,NA,NA,NA,0.932850907628353,NA,NA,NA,NA,NA,NA,0.200994119834593,NA,NA
"25",0,0,-83.9230769230769,8.63147038679856,52.3478753658441,-25.9950000567314,1.04440489793435,-0.761217948717949,14935.1876126507,0.732106651303876,4.88186782886361,16.3095102087879,1.71964079429239,0.0270643882324921,22.0924440255749,7.49361164936234
"25",0,0,-88.0486111111111,9.45014339023166,52.1987079117033,-25.376736164093,1.05279289517138,0.286458333333333,14748.0843085932,0.732176190258857,5.11191690062171,16.0678977636423,1.86075477542517,0.0335398338183079,21.0200530452762,7.25390383116404
"25",0,0,-88.2307692307692,10.0349524540779,56.6550905307134,-27.7244231028435,1.06317075322836,-0.865384615384615,14735.7266810012,1.06465898733125,6.03907656525264,17.4200262102101,2.79883105288824,0.0439954661146244,16.7010088698399,7.49361164912872
